boundary_index,boundary_temperature_c,probe_side,reference_region,reference_phase,reference_pressure_mpa,specific_volume_m3_kg,specific_u_j_kg,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa,phase_matches,production_minus_reference_temperature_c,production_minus_reference_pressure_mpa
24,47.68824782669549,R2-SIDE,REGION-2,SuperheatedVapor,0.011002091991062758,13.410033217075561,2439683.4319894873,,True,SaturatedMixture,47.45346719824204,0.01087255902908397,False,-0.23478062845344994,-0.0001295329619787882
25,47.72291185855869,R1-SIDE,REGION-1,SubcooledLiquid,0.011021565312344302,0.00101110182985474,199806.7258401796,,True,SaturatedMixture,47.583028157355784,0.010943937756079285,False,-0.13988370120290483,-7.762755626501694E-05
25,47.72291185855869,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.011021455097793323,0.001024488683113806,199808.96577870846,1E-06,True,SaturatedMixture,47.58302573617789,0.010943936418433586,True,-0.13988612238080123,-7.751867935973725E-05
25,47.72291185855869,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.011021455097793323,13.38785092499888,2439727.2253570654,0.999999,True,SaturatedMixture,47.48839362909672,0.010891761482615874,True,-0.23451822946196899,-0.00012969361517744908
25,47.72291185855869,R2-SIDE,REGION-2,SuperheatedVapor,0.011021344883242346,13.387998700498054,2439729.494047604,,True,SaturatedMixture,47.488184562618585,0.010891646451840441,False,-0.23472729594010389,-0.0001296984314019048
26,47.757624070346424,R1-SIDE,REGION-1,SubcooledLiquid,0.01104087434015728,0.0010111173243340897,199951.7970785473,,True,SaturatedMixture,47.61756891791117,0.01096303503851156,False,-0.14005515243525224,-7.783930164572024E-05
26,47.757624070346424,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.011040763932517954,0.001024482154508052,199954.03691816743,1E-06,True,SaturatedMixture,47.61756650480913,0.01096303370332954,True,-0.14005756553729043,-7.773022918841459E-05
26,47.757624070346424,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.011040763932517954,13.365827877326062,2439773.349510042,0.999999,True,SaturatedMixture,47.523159406143975,0.010910904533896773,True,-0.2344646642024486,-0.00012985939862118073
26,47.757624070346424,R2-SIDE,REGION-2,SuperheatedVapor,0.01104065352487863,13.365975410296452,2439775.6181299794,,True,SaturatedMixture,47.522950289780226,0.010910789301985252,False,-0.23467378056619737,-0.00012986422289337773
27,47.79246309995665,R1-SIDE,REGION-1,SubcooledLiquid,0.011060283117221672,0.0010111328842586347,200097.3985093529,,True,SaturatedMixture,47.65223592409143,0.010982230895080566,False,-0.1402271758652205,-7.805222214110619E-05
27,47.79246309995665,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.011060172515496517,0.0010244756529092286,200099.63824970069,1E-06,True,SaturatedMixture,47.65223351177531,0.010982229558326229,True,-0.14022958818134157,-7.794295717028846E-05
27,47.79246309995665,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.011060172515496517,13.343766391491327,2439819.640161691,0.999999,True,SaturatedMixture,47.55805230024316,0.010930146632090045,True,-0.234410799713487,-0.00013002588340647186
27,47.79246309995665,R2-SIDE,REGION-2,SuperheatedVapor,0.011060061913771362,13.34391368150938,2439821.9087107917,,True,SaturatedMixture,47.557843128251875,0.010930031194939314,False,-0.2346199717047739,-0.00013003071883204743
28,47.827488413453125,R1-SIDE,REGION-1,SubcooledLiquid,0.011079825203158315,0.0010111485363040124,200243.77866033817,,True,SaturatedMixture,47.68708832984032,0.011001558505344745,False,-0.14040008361280343,-7.826669781356953E-05
28,47.827488413453125,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.011079714406014254,0.0010244691678136166,200246.0183008806,1E-06,True,SaturatedMixture,47.68708592595772,0.011001557171250452,True,-0.1404024874954075,-7.815723476380272E-05
28,47.827488413453125,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.011079714406014254,13.321629288203749,2439866.1762961135,0.999999,True,SaturatedMixture,47.59313187232692,0.010949521052067947,True,-0.2343565411262034,-0.00013019335394630696
