lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
A,5,157,269.86491042971613,64,5.3,5.4,5.6,3,157,0,0,0,0,0,0
A,5,158,269.87132650613796,64,5.2,5.4,5.5,3,158,0,0,0,0,0,0
A,5,159,269.8816254317761,64,5.2,5.4,6.8,59,159,0,0,0,0,0,0
A,5,160,269.8893888354303,64,5.3,5.4,9.4,28,160,0,0,0,0,0,0
A,5,161,269.90732603669187,64,5.3,5.4,6.7,39,161,0,0,0,0,0,0
A,5,162,269.9158253133297,64,5.3,5.4,5.6,40,162,0,0,0,0,0,0
A,5,163,269.92513548135753,64,5.3,5.4,6.8,48,163,0,0,0,0,0,0
A,5,164,269.93746799826624,64,5.3,5.4,6.2,32,164,0,0,0,0,0,0
A,5,165,269.9428149163722,64,5.3,5.4,8.1,32,165,0,0,0,0,0,0
A,5,166,269.9500148475171,64,5.2,5.4,8,32,166,0,0,0,0,0,0
A,5,167,269.9603627145292,64,5.2,5.4,7.9,32,167,0,0,0,0,0,0
A,5,168,269.9777773737907,64,5.3,5.4,5.6,3,168,0,0,0,0,0,0
A,5,169,269.984167456627,64,5.3,5.4,5.6,3,169,0,0,0,0,0,0
A,5,170,269.99505785107624,64,5.3,5.4,5.5,3,170,0,0,0,0,0,0
A,5,171,270.0122033536435,64,5.3,5.4,7.2,41,171,0,0,0,0,0,0
A,5,172,270.01825814843176,64,5.3,5.4,6.8,50,172,0,0,0,0,0,0
A,5,173,270.02492635846113,64,5.3,5.4,5.7,20,173,0,0,0,0,0,0
A,5,174,270.02921333909023,64,5.3,5.4,6.9,34,174,0,0,0,0,0,0
A,5,175,270.0460875153541,64,5.3,5.4,6.7,61,175,0,0,0,0,0,0
A,5,176,270.0522645592689,64,5.3,5.4,5.5,3,176,0,0,0,0,0,0
A,5,177,270.06282575726516,64,5.3,5.4,8.9,19,177,0,0,0,0,0,0
A,5,178,270.0794281482697,64,5.3,5.6,9.2,21,178,0,0,0,0,0,0
A,5,179,270.086165201664,64,5.3,5.4,7,43,179,0,0,0,0,0,0
A,5,180,270.0950280129906,64,5.3,5.4,5.6,3,180,0,0,0,0,0,0
A,5,181,270.1072710335253,64,5.3,5.4,7,36,181,0,0,0,0,0,0
A,5,182,270.11994096636784,64,5.3,5.4,36.6,2,182,0,0,0,0,0,0
A,5,183,270.1535745382308,64,5.3,5.4,6.8,2,183,0,0,0,0,0,0
A,5,184,270.18390763401965,64,5.3,5.6,9,17,184,0,0,0,0,0,0
A,5,185,270.1870496869085,64,5.3,5.4,9.1,15,185,0,0,0,0,0,0
A,5,186,270.2203527688979,64,5.3,5.4,7,38,186,0,0,0,0,0,0
A,5,187,270.25347097516044,64,5.3,5.4,5.8,2,187,0,0,0,0,0,0
A,5,188,270.28639316558827,64,5.3,5.4,6.9,38,188,0,0,0,0,0,0
A,5,189,270.3190940141677,64,5.3,5.4,9.6,47,189,0,0,0,0,0,0
A,5,190,270.3355482459067,64,5.3,5.4,5.8,2,190,0,0,0,0,0,0
A,5,191,270.3515844941138,64,5.3,5.4,5.8,2,191,0,0,0,0,0,0
A,5,192,270.38385555148113,64,5.3,5.4,11.7,38,192,0,0,0,0,0,0
A,5,193,270.41057386994373,64,5.3,5.4,7.8,31,193,0,0,0,0,0,0
A,5,194,270.4159002184865,64,5.3,5.4,5.7,2,194,0,0,0,0,0,0
A,5,195,270.4477130711076,64,5.3,5.4,5.8,2,195,0,0,0,0,0,0
A,5,196,270.47928985357294,64,5.3,5.3,5.8,2,196,0,0,0,0,0,0
A,5,197,270.48048021793363,64,5.3,5.4,5.7,2,197,0,0,0,0,0,0
