boundary_index,boundary_temperature_c,probe_side,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa,production_quality,phase_matches,production_minus_reference_temperature_c,production_minus_reference_pressure_mpa,is_finite,boundary_max_liquid_pressure_jump_mpa,boundary_max_liquid_temperature_jump_c,boundary_max_vapor_pressure_jump_mpa,boundary_max_vapor_temperature_jump_c
258,273.96743665337556,R2-SIDE,REGION-2,SuperheatedVapor,273.96743665337556,5.852472371656125,,true,SuperheatedVapor,273.96658150976975,5.852453789308552,,true,-0.0008551436058041872,-1.8582347572682067E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
259,274.1351564466953,R1-SIDE,REGION-1,SubcooledLiquid,274.1351564466953,5.867736958825487,,true,SubcooledLiquid,274.1350777359504,5.867964446760667,,true,-7.871074490140018E-05,0.0002274879351800152,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
259,274.1351564466953,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,274.1351564466953,5.867678282042666,1E-06,true,SaturatedMixture,274.1351035327858,5.867699727986003,9.802172359560009E-07,true,-5.291390948514163E-05,2.1445943336750872E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
259,274.1351564466953,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,274.1351564466953,5.867678282042666,0.999999,true,SaturatedMixture,274.1356331411349,5.867747670811612,0.9999996620434985,true,0.00047669443961240177,6.938876894579948E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
259,274.1351564466953,R2-SIDE,REGION-2,SuperheatedVapor,274.1351564466953,5.867619605259846,,true,SuperheatedVapor,274.13430034873227,5.867600932134402,,true,-0.0008560979630374277,-1.867312544412414E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
260,274.3160987555981,R1-SIDE,REGION-1,SubcooledLiquid,274.3160987555981,5.88411222739679,,true,SubcooledLiquid,274.31600942077284,5.884384166760216,,true,-8.933482524753344E-05,0.0002719393634258438,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
260,274.3160987555981,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,274.3160987555981,5.884053386862921,1E-06,true,SaturatedMixture,274.3160363365291,5.884078680222644,9.765748053049256E-07,true,-6.241906896775617E-05,2.5293359723121966E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
260,274.3160987555981,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,274.3160987555981,5.884053386862921,0.999999,true,SaturatedMixture,274.31665990996214,5.884135129242749,0.9999997808134413,true,0.0005611543640497985,8.174237982760957E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
260,274.3160987555981,R2-SIDE,REGION-2,SuperheatedVapor,274.3160987555981,5.883994546329053,,true,SuperheatedVapor,274.31524161182415,5.883975772638876,,true,-0.0008571437739419707,-1.8773690176665525E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
261,274.4903302550314,R1-SIDE,REGION-1,SubcooledLiquid,274.4903302550314,5.899913120456926,,true,SubcooledLiquid,274.4903041188833,5.899912899680635,,true,-2.613614810798026E-05,-2.2077629058259163E-07,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
261,274.4903302550314,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,274.4903302550314,5.899854121915706,1E-06,true,SaturatedMixture,274.490325152874,5.899856185126298,9.980818601454318E-07,true,-5.10215738813713E-06,2.0632105917073318E-06,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
261,274.4903302550314,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,274.4903302550314,5.899854121915706,0.999999,true,SaturatedMixture,274.4903759587229,5.899860784328605,0.9999990636601971,true,4.5703691512244404E-05,6.662412898705838E-06,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
261,274.4903302550314,R2-SIDE,REGION-2,SuperheatedVapor,274.4903302550314,5.899795123374488,,true,SuperheatedVapor,274.48947242080146,5.899776300408604,,true,-0.000857834229918808,-1.8822965883735776E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
262,274.66211806535716,R1-SIDE,REGION-1,SubcooledLiquid,274.66211806535716,5.915524095625014,,true,SubcooledLiquid,274.6620321220439,5.9157792387220915,,true,-8.594331325184612E-05,0.0002551430970774149,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
262,274.66211806535716,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,274.66211806535716,5.915464940975604,1E-06,true,SaturatedMixture,274.6620589295917,5.915488821102469,9.776106473696108E-07,true,-5.913576546845434E-05,2.388012686527219E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
