sample_id,default_authority,default_reason,shadow_armed_authority,shadow_armed_reason,rollback_required,production_commit_authorized
cooling-pulse:5005,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5027,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5049,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5070,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5107,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5126,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5144,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5179,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5197,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5232,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5250,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5267,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5284,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5300,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5317,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5348,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5364,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5380,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5410,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5426,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5441,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5469,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5484,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5511,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5525,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
