step,presentation_fingerprint,trigger,committed,rollback,unsafe_commit,fallback_commit_violation,historical_predictor_fluid_nodes_reused,historical_predictor_fluid_nodes_total,shadow_iterations,engine_us,engine_alloc_bytes,orchestrator_us,orchestrator_alloc_bytes,explicit_preparation_us,explicit_preparation_alloc_bytes,sidecar_us,sidecar_alloc_bytes,predictor_us,predictor_alloc_bytes,corrector_us,corrector_alloc_bytes,disagreement_scan_us,disagreement_scan_alloc_bytes,authority_us,authority_alloc_bytes,commit_accounting_us,commit_accounting_alloc_bytes,h9_total_us,h9_total_alloc_bytes,h9_layout_us,h9_layout_alloc_bytes,h9_initial_residual_us,h9_initial_residual_alloc_bytes,h9_jacobian_build_us,h9_jacobian_build_alloc_bytes,h9_newton_line_search_us,h9_newton_line_search_alloc_bytes,h9_residual_fallback_us,h9_residual_fallback_alloc_bytes,h9_other_us,h9_other_alloc_bytes,probe_applied_fluid_nodes_reused,probe_applied_fluid_nodes_total,probe_mapped_fluid_nodes_reused,probe_mapped_fluid_nodes_total,hydraulic_evaluations,probe_evaluations,max_jacobian_dimension,jacobian_build_attempts,jacobian_direction_acceptances,jacobian_rejected,residual_fallback_attempts,residual_fallback_acceptances,backtracking_trials
37,641b2187e0f2353c8583f50e82737b89c8d774850e136ee8e8ed80e9c1828590,False,False,False,False,False,11,12,0,7685.5,322760,7189.1999999999998,53944,7076.3000000000002,21872,97,19264,95.700000000000003,19088,0,0,0,0,0.20000000000000001,40,14.6,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0aa46c257c961797e370e0b1e137b4265902a101e3c4ddcf3bf3f6cf1e6344fa,False,False,False,False,False,11,12,0,7666.1999999999998,322752,7156.6000000000004,53944,7044.6000000000004,21872,95.900000000000006,19264,94.700000000000003,19088,0,0,0,0,0.29999999999999999,40,14.699999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,25b496b0a1cf7f2c59ef7ad843e7f5aca1c33daa98c88943b0071e1beaea2ff8,False,False,False,False,False,10,12,0,7709.8000000000002,324272,7223.8999999999996,54072,7061.6000000000004,21872,145.90000000000001,19392,144.59999999999999,19216,0,0,0,0,0.29999999999999999,40,15,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5235fad5146515a106731715b1ba363405b37e4aebe44c026ab58c8223531159,False,False,False,False,False,10,12,0,7666.8999999999996,322880,7193.1000000000004,54072,7034.8000000000002,21872,142.19999999999999,19392,141,19216,0,0,0,0,0.29999999999999999,40,14.699999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,9032fb60ea0d8099888f6d2cf13f04c1c39d47d933f3d981ad96a45299a8168a,False,False,False,False,False,10,12,0,7703.8999999999996,324272,7220.1000000000004,55456,7059.3000000000002,21872,143.69999999999999,19392,142.5,19216,0,0,0,0,0.20000000000000001,40,14.699999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,17e81307cced1d1c99b8bf995cf6c1408cb7aecde14e33aebacddd35c09ec57e,False,False,False,False,False,10,12,0,7704.1000000000004,322880,7222.3999999999996,54072,7062.6999999999998,21872,143.69999999999999,19392,142.40000000000001,19216,0,0,0,0,0.29999999999999999,40,14.800000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,b58d2b6e160704d7660a3e35d4db4667f6861c80a1b2279efc7cf4b2521a79a6,False,False,False,False,False,11,12,0,7647,322760,7173.8000000000002,53944,7063.5,21872,93.599999999999994,19264,92.400000000000006,19088,0,0,0,0,0.29999999999999999,40,15.300000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,c8b9c6aba11da58f629e21764602c3956c599da7f58a5466017e6d41b5482a46,False,False,False,False,False,11,12,0,7656.8999999999996,322752,7176.5,53944,7064.1999999999998,21872,94.5,19264,93.400000000000006,19088,0,0,0,0,0.20000000000000001,40,16.300000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,87d8c44ef36fa0b5f68e57243cdf3cca0cf2c0d8e98159ad7a1f29dbee309148,False,False,False,False,False,10,12,0,7710.1000000000004,322888,7220.6000000000004,54072,7060.1000000000004,21872,144.5,19392,143.30000000000001,19216,0,0,0,0,0.20000000000000001,40,14.6,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,aad3fea8c440ad11433448d078dc6de1cb0c56985f8b1dafa10f8eb25beca42e,False,False,False,False,False,11,12,0,7655.1000000000004,322752,7159.3999999999996,53944,7044.8000000000002,21872,96.400000000000006,19264,95.299999999999997,19088,0,0,0,0,0.29999999999999999,40,16.899999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,aa84c9cf5fb5ae70ff291151dcb2b860910f74070f441ddda09a48fdd363c1f6,False,False,False,False,False,10,12,0,7705.6999999999998,322888,7224.8999999999996,54072,7066.6000000000004,21872,142.40000000000001,19392,141.09999999999999,19216,0,0,0,0,0.20000000000000001,40,14.6,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,cca7e5add17b01272372887f475134a1f03e00f374dfb8b07e0ec09e47733116,False,False,False,False,False,11,12,0,7644.3999999999996,322752,7170.3000000000002,53944,7059.8000000000002,21872,94.5,19264,93.400000000000006,19088,0,0,0,0,0.20000000000000001,40,14.699999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2e3aabbed4eae129bae5c49279bd1e7bd59f5997c6f138bb5e3b3f4cc3477a95,False,False,False,False,False,10,12,0,7692.5,322888,7218.8999999999996,54072,7060.6999999999998,21872,142.5,19392,141.30000000000001,19216,0,0,0,0,0.29999999999999999,40,14.4,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0c2084e913a9ec5bdb61c131189ff76bdc7505e76b998bfaa8c9f3fa918e58cb,False,False,False,False,False,11,12,0,7644.1999999999998,322752,7162.8999999999996,53944,7050,21872,97.299999999999997,19264,96,19088,0,0,0,0,0.29999999999999999,40,14.300000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,ea49cf3901822ea7e0b0f9747c4001c593e3f7fe7b75ac3c65c29f6ed9ac999b,False,False,False,False,False,10,12,0,7688.3000000000002,322888,7207.1999999999998,54072,7048.1000000000004,21872,142.69999999999999,19392,141.40000000000001,19216,0,0,0,0,0.29999999999999999,40,15,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2f84a39f0b69611075a3eea9ead6c544a8f6c1a02d55b8f5d86c76e5dc16695c,False,False,False,False,False,11,12,0,7649,322752,7169.3000000000002,53944,7055.3000000000002,21872,98.299999999999997,19264,97,19088,0,0,0,0,0.29999999999999999,40,14.6,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,24fe633ea9d584e4973692c36284056676a6ec5b98f8cb8b2aa852344092cfed,False,False,False,False,False,10,12,0,7671.8999999999996,322888,7192.6000000000004,54072,7034.6000000000004,21872,141.80000000000001,19392,140.59999999999999,19216,0,0,0,0,0.29999999999999999,40,14.800000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,09cffdad22a575c3b85ca05d9849237f20a41f5800834b8c29893319aa8ff396,False,False,False,False,False,11,12,0,7651.1999999999998,322752,7165,53944,7053.6000000000004,21872,95.400000000000006,19264,94.099999999999994,19088,0,0,0,0,0.20000000000000001,40,14.5,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,86701c50758c56b8de1c47f3620aab3a3e938d7ef179158f7dbd39e21f2d7a84,False,False,False,False,False,10,12,0,7707.6000000000004,322888,7228.1999999999998,54072,7068.8000000000002,21872,143.80000000000001,19392,142.59999999999999,19216,0,0,0,0,0.20000000000000001,40,14.4,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,c0e0f155047510ad4874c4aa29356846d7a201412f1d83fc8a2f9faab5c076c3,False,False,False,False,False,11,12,0,7644.8000000000002,322752,7169.8000000000002,53944,7060.5,21872,93.900000000000006,19264,92.700000000000003,19088,0,0,0,0,0.20000000000000001,40,14,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,e26b91db09830de0b0165e7b4ae7995a65bc3eb316a26ebe3265e89fe7f702f6,False,False,False,False,False,11,12,0,7606.8999999999996,322760,7129.6000000000004,53944,7020.8999999999996,21872,93.599999999999994,19264,92.299999999999997,19088,0,0,0,0,0.20000000000000001,40,13.800000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6059d0fda609206df2d3f4492f0dd70f83d8bd473553a7dac5dcd1ffbfb76ad9,False,False,False,False,False,10,12,0,7705.8000000000002,322880,7224.1999999999998,54072,7060.3000000000002,21872,148.09999999999999,19392,146.90000000000001,19216,0,0,0,0,0.29999999999999999,40,14,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
