candidate_id,probe_id,logical_step,elapsed_s,path_id,from_node,to_node,candidate_resolved,candidate_driving_pa,candidate_flow_kg_s,canonical_flow_kg_s,if97_counterfactual_flow_kg_s,abs_candidate_minus_canonical_flow_kg_s,abs_candidate_minus_if97_flow_kg_s,driving_sign_changed_from_production
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,38784,360,FEEDWATER-PUMP,feedwater-inventory,drum,true,1088247.464181901,32.98859597166725,15.83831803398749,32.995888922765396,17.15027793767976,0.007292951098143874,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,44784,420,MCP,suction,pressure,true,987252.8481233038,140.5171055867081,98.78350507314344,140.51069759285878,41.73360051356467,0.006407993849336435,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,44784,420,CHANNEL,pressure,outlet,true,-539396.9322632985,-146.88729451702739,98.7934329082542,-146.90251276433648,245.6807274252816,0.015218247309093158,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,44784,420,RETURN,outlet,drum,true,450633.18778294546,134.25843553132077,98.74923970121107,134.32978582784395,35.509195830109704,0.07135029652317826,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,44784,420,FEEDWATER-PUMP,feedwater-inventory,drum,true,1089757.6828570748,33.01147804714407,15.773589759107407,33.019543614796525,17.237888288036658,0.008065567652458583,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,50784,480,MCP,suction,pressure,true,993844.7621597613,140.9854433734037,98.62455534822769,140.98189982210008,42.360888025176024,0.00354355130363615,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,50784,480,CHANNEL,pressure,outlet,true,-549570.9270738107,-148.26610227207172,98.65495291261486,-148.24969898476314,246.92105518468657,0.01640328730857732,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,50784,480,RETURN,outlet,drum,true,450912.34173215256,134.3000136607815,98.61135315104987,134.34595770415825,35.68866050973163,0.04594404337674973,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,50784,480,FEEDWATER-PUMP,feedwater-inventory,drum,true,1091992.5985287847,33.045311294172805,15.723547196156069,33.05368186204745,17.321764098016736,0.008370567874642632,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,56784,540,MCP,suction,pressure,true,998364.2756646747,141.3056457233521,98.54258587463916,141.30454030017276,42.76305984871293,0.0011054231793252711,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,56784,540,CHANNEL,pressure,outlet,true,-557125.0433317844,-149.281618872758,98.58632152358805,-149.21624280481748,247.86794039634606,0.06537606794051953,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,56784,540,RETURN,outlet,drum,true,451641.82473893533,134.40860459642238,98.54556376875348,134.40978064799768,35.8630408276689,0.0011760515752996525,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,56784,540,FEEDWATER-PUMP,feedwater-inventory,drum,true,1095484.4436186124,33.09810332358355,15.70571078154846,33.106211492565286,17.39239254203509,0.008108168981735275,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,62784,600,MCP,suction,pressure,true,1001061.7662161137,141.49641452815078,98.55861504974044,141.49571264008333,42.93779947841034,0.0007018880674536376,false
