lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
B,1,181,270.1072710335253,64,5.1,5.2,5.4,0,181,0,0,0,0,0,0
B,1,182,270.11994096636784,64,5,5.5,7,2,182,0,0,0,0,0,0
B,1,183,270.1535745382308,64,5,5.2,6.9,56,183,0,0,0,0,0,0
B,1,184,270.18390763401965,64,5,5.1,5.4,2,184,0,0,0,0,0,0
B,1,185,270.1870496869085,64,5,5.5,6.8,1,185,0,0,0,0,0,0
B,1,186,270.2203527688979,64,5,5.2,6.8,1,186,0,0,0,0,0,0
B,1,187,270.25347097516044,64,5.1,5.2,7,2,187,0,0,0,0,0,0
B,1,188,270.28639316558827,64,5.1,5.2,7,2,188,0,0,0,0,0,0
B,1,189,270.3190940141677,64,5,5.1,5.3,2,189,0,0,0,0,0,0
B,1,190,270.3355482459067,64,5,5.1,6.5,24,190,0,0,0,0,0,0
B,1,191,270.3515844941138,64,5,5.4,6.7,1,191,0,0,0,0,0,0
B,1,192,270.38385555148113,64,5,5.1,5.5,0,192,0,0,0,0,0,0
B,1,193,270.41057386994373,64,5,5.1,7,2,193,0,0,0,0,0,0
B,1,194,270.4159002184865,64,5,5.1,6.8,60,194,0,0,0,0,0,0
B,1,195,270.4477130711076,64,5,5.1,5.3,2,195,0,0,0,0,0,0
B,1,196,270.47928985357294,64,5,5.3,6.8,1,196,0,0,0,0,0,0
B,1,197,270.48048021793363,64,5,5.2,6.8,1,197,0,0,0,0,0,0
B,1,198,270.50527734756463,64,5.1,5.4,8.2,2,198,0,0,0,0,0,0
B,1,199,270.5106271028518,64,5,5.2,7,2,199,0,0,0,0,0,0
B,1,200,270.54172206521014,64,5.05,5.2,5.4,49,200,0,0,0,0,0,0
B,1,201,270.5621895730495,64,5.1,5.2,6.5,5,201,0,0,0,0,0,0
B,1,202,270.5725726544857,64,5.1,5.3,7.2,0,202,0,0,0,0,0,0
B,1,203,270.60145553350435,64,5.1,5.2,5.5,1,203,0,0,0,0,0,0
B,1,204,270.6031772851942,64,5.1,5.4,7.1,3,204,0,0,0,0,0,0
B,1,205,270.61141203641887,64,5.1,5.2,5.6,2,205,0,0,0,0,0,0
