probe_id,logical_step,elapsed_s,node_id,reference_region,reference_phase,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,tail_classification
background-reference,6000,60,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,51,7,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,38784,360,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,25,86,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,44784,420,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,10,90,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,56784,540,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,20,103,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,62784,600,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,20,106,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,62784,600,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,20,107,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,68784,660,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,10,113,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,74784,720,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,20,115,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,80784,780,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1500000000000004,2.3,2.6,10,120,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,80784,780,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,10,121,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,80784,780,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,10,122,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,80784,780,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,10,123,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,86784,840,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,10,126,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,86784,840,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,10,128,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,92784,900,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,2.6,20,130,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,92784,900,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,10,132,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,98784,960,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,10,137,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,98784,960,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,20,138,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,104784,1020,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,20,143,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,110784,1080,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,20,145,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,164784,1620,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,42,190,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,170784,1680,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,14,195,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,170784,1680,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,42,198,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,176784,1740,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,42,201,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,176784,1740,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,42,202,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,182784,1800,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,42,207,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,188784,1860,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,42,212,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,194784,1920,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,42,215,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,194784,1920,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,42,217,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,344784,3420,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,61,343,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,350784,3480,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,61,345,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,350784,3480,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.3,2.6,61,347,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,350784,3480,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,61,348,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,356784,3540,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,61,350,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,356784,3540,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,2.6,61,351,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,356784,3540,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,61,353,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,362784,3600,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.6,61,356,0,0,WITHIN-CEILING
background-reference,6000,60,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,2.5,61,8,0,0,WITHIN-CEILING
background-reference,18000,180,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,2.5,51,15,0,0,WITHIN-CEILING
background-reference,24000,240,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,2.5,51,20,0,0,WITHIN-CEILING
background-reference,30000,300,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,2.5,51,25,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,62784,600,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.5,10,105,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,86784,840,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.5,10,127,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,92784,900,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.5,10,133,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,98784,960,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.5,10,135,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,98784,960,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.5,10,136,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,110784,1080,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.5,10,146,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,116784,1140,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.5,10,153,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,122784,1200,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1500000000000004,2.3,2.5,10,155,0,0,WITHIN-CEILING
