domain,observation_index,source_identity,c3_resolved,c4_resolved,c3_region,c4_region,c3_phase,c4_phase,c3_temperature_bits,c4_temperature_bits,c3_pressure_bits,c4_pressure_bits,c3_quality_has_value,c4_quality_has_value,c3_quality_bits,c4_quality_bits,c4_repeat_count,c4_repeat_deterministic,bit_equivalent
EXACT-V9,47,background-reference|6000|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797385803145,4585439797385803145,2,true,true
EXACT-V9,48,background-reference|6000|feedwater-inventory,true,true,REGION-1-NEAR-BOUNDARY-C2,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,SubcooledLiquid,4631884290403040896,4631884290403040896,4593175440981778257,4593175440981778257,false,false,0,0,2,true,true
EXACT-V9,49,background-reference|12000|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,50,background-reference|12000|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071945219177,4561454071945219177,2,true,true
EXACT-V9,51,background-reference|12000|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715519836160,4643548715519836160,4618399954101452537,4618399954101452537,true,true,4596010126375152368,4596010126375152368,2,true,true
EXACT-V9,52,background-reference|12000|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797386686846,4585439797386686846,2,true,true
EXACT-V9,53,background-reference|12000|feedwater-inventory,true,true,REGION-1-NEAR-BOUNDARY-C2,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,SubcooledLiquid,4631884290402993712,4631884290402993712,4593175440973837402,4593175440973837402,false,false,0,0,2,true,true
EXACT-V9,54,background-reference|18000|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,55,background-reference|18000|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071945447861,4561454071945447861,2,true,true
EXACT-V9,56,background-reference|18000|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715520360448,4643548715520360448,4618399954104525916,4618399954104525916,true,true,4596010126372580447,4596010126372580447,2,true,true
EXACT-V9,57,background-reference|18000|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797387019308,4585439797387019308,2,true,true
EXACT-V9,58,background-reference|18000|feedwater-inventory,true,true,REGION-1-NEAR-BOUNDARY-C2,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,SubcooledLiquid,4631884290402910088,4631884290402910088,4593175440943885324,4593175440943885324,false,false,0,0,2,true,true
