boundary_index,boundary_temperature_c,lane_run_count,total_calls,median_of_lane_run_medians_us,max_lane_run_p95_us,max_us,total_calls_over_max_ceiling,total_calls_with_gc_activity,total_exceedances_with_gc_activity,total_nonzero_allocation_calls,total_fallback_calls
213,270.75249078273771,10,640,5.3,18.5,22.8,0,0,0,0,0
214,270.75390186309812,10,640,5.3,18.4,22.8,0,0,0,0,0
215,270.78118436336524,10,640,5.3,18.5,28.8,0,0,0,0,0
216,270.80307684540742,10,640,5.25,18.5,22.9,0,0,0,0,0
217,270.80531049966817,10,640,5.3,18.4,22.8,0,0,0,0,0
218,270.85275713801377,10,640,5.3,18.5,23.1,0,0,0,0,0
219,270.90280864238741,10,640,5.3,18.4,19.7,0,0,0,0,0
220,270.9531313061716,10,640,5.3,18.4,18.6,0,0,0,0,0
221,271.00374035835273,10,640,5.25,18.4,18.5,0,0,0,0,0
222,271.05448947548859,10,640,5.25,18.4,31.7,0,0,0,0,0
223,271.10538116097439,10,640,5.25,18.5,19.9,0,0,0,0,0
224,271.15636810064314,10,640,5.25,18.4,18.5,0,0,0,0,0
225,271.20735141038915,10,640,5.25,18.4,18.5,0,0,0,0,0
226,271.2583651363849,10,640,5.25,18.5,20.3,0,0,0,0,0
227,271.30930776596063,10,640,5.25,18.5,50.3,0,0,0,0,0
228,271.36016235947625,10,640,5.25,18.5,20.7,0,0,0,0,0
229,271.41092512011539,10,640,5.25,18.5,20,0,0,0,0,0
230,271.46150371432316,10,640,5.25,18.5,18.5,0,0,0,0,0
231,271.51193360686295,10,640,5.25,18.5,18.5,0,0,0,0,0
232,271.56215500831593,10,640,5.3,18.6,35.6,0,0,0,0,0
233,271.6121370434762,10,640,5.25,18.5,24.2,0,0,0,0,0
234,271.66190503835685,10,640,5.25,18.6,23.3,0,0,0,0,0
235,271.71136682629583,10,640,5.3,18.6,25.7,0,0,0,0,0
236,271.76054902672774,10,640,5.275,18.5,23.1,0,0,0,0,0
237,271.80945309996594,10,640,5.25,18.5,22.9,0,0,0,0,0
238,271.85805572271363,10,640,5.3,18.5,22.9,0,0,0,0,0
239,271.90634704828267,10,640,5.25,18.5,22.8,0,0,0,0,0
240,271.95431818962084,10,640,5.25,19.5,22.9,0,0,0,0,0
241,272.00196151137345,10,640,5.3,18.5,23,0,0,0,0,0
242,272.04927046298974,10,640,5.25,18.6,22.9,0,0,0,0,0
243,272.09623962044714,10,640,5.25,18.5,22.9,0,0,0,0,0
244,272.14286439418822,10,640,5.25,18.5,22.7,0,0,0,0,0
245,272.18914115428936,10,640,5.2,18.6,22.7,0,0,0,0,0
246,272.23506702184693,10,640,5.25,19.7,22.9,0,0,0,0,0
247,272.28064007759087,10,640,5.25,18.5,28.3,0,0,0,0,0
248,272.32585906982433,10,640,5.25,18.6,22.9,0,0,0,0,0
249,272.37072358131411,10,640,5.25,18.5,22.8,0,0,0,0,0
250,272.41523357033736,10,640,5.25,18.5,23.9,0,0,0,0,0
251,272.45532531738286,10,640,5.3,18.5,30.4,0,0,0,0,0
252,272.48579555749882,10,640,5.275,18.6,22.9,0,0,0,0,0
253,273.6084401816131,10,640,5.25,18.6,22.9,0,0,0,0,0
254,273.62155281901357,10,640,5.25,18.5,22.8,0,0,0,0,0
